OID,ident,lat,long,id,alt,gs,time,heading
-1,77,34.44083,-118.06583,ASH5694,27000,461,11/07/2016 01:43:02,122
-1,78,34.14728,-118.4151,SKW5287,3400,225,11/07/2016 01:43:06,269
-1,79,34.15187,-118.4375,SKW5287,4000,240,11/07/2016 01:43:22,299
-1,80,38.65222,-118.13972,ASA605,40000,449,11/07/2016 01:43:36,334
-1,81,34.17906,-118.464,SKW5287,5200,257,11/07/2016 01:43:53,343
-1,82,36.3475,-120.36889,EJA820,28000,404,11/07/2016 01:44:01,315
-1,83,34.39583,-117.91917,ASH5694,27000,477,11/07/2016 01:44:04,110
-1,84,34.20914,-118.4705,SKW5287,6400,262,11/07/2016 01:44:18,354
-1,85,34.23106,-118.4733,SKW5287,7300,264,11/07/2016 01:44:36,355
-1,86,38.76361,-118.21,ASA605,40000,449,11/07/2016 01:44:37,334
-1,87,34.2507,-118.4749,SKW5287,8000,267,11/07/2016 01:44:53,359
-1,88,36.42611,-120.46583,EJA820,28000,404,11/07/2016 01:45:03,315
-1,89,34.3575,-117.74917,ASH5694,27000,471,11/07/2016 01:45:06,105
-1,90,34.27277,-118.474,SKW5287,8700,274,11/07/2016 01:45:11,6
-1,91,34.29815,-118.4697,SKW5287,9500,282,11/07/2016 01:45:32,8
-1,92,38.87361,-118.28167,ASA605,40000,447,11/07/2016 01:45:39,333
-1,93,34.31659,-118.4666,SKW5287,9900,290,11/07/2016 01:45:47,6
-1,94,34.34163,-118.4641,SKW5287,10600,294,11/07/2016 01:46:02,3
-1,95,36.505,-120.55833,EJA820,28000,396,11/07/2016 01:46:04,317
-1,96,34.32111,-117.59917,ASH5694,27000,468,11/07/2016 01:46:09,106
-1,97,34.36347,-118.4619,SKW5287,11300,296,11/07/2016 01:46:21,5
-1,98,38.98361,-118.35222,ASA605,40000,444,11/07/2016 01:46:41,334
-1,99,34.39668,-118.4497,SKW5287,12300,304,11/07/2016 01:46:43,27
-1,100,34.41453,-118.4344,SKW5287,12800,307,11/07/2016 01:47:00,35
-1,101,36.60472,-120.66972,EJA820,28000,399,11/07/2016 01:47:06,318
-1,102,34.28361,-117.44778,ASH5694,27000,468,11/07/2016 01:47:11,107
-1,103,34.42878,-118.4155,SKW5287,13200,322,11/07/2016 01:47:17,56
-1,104,34.44693,-118.3751,SKW5287,14200,321,11/07/2016 01:47:38,67
-1,105,34.46054,-118.3387,SKW5287,15100,322,11/07/2016 01:48:01,65
-1,106,36.68806,-120.7625,EJA820,27900,400,11/07/2016 01:48:08,318
-1,107,34.23833,-117.2675,ASH5694,27000,468,11/07/2016 01:48:13,107
-1,108,34.47116,-118.3188,SKW5287,15400,331,11/07/2016 01:48:18,56
-1,109,39.20972,-118.49972,ASA605,40000,441,11/07/2016 01:48:44,333
-1,110,36.76972,-120.85556,EJA820,25800,400,11/07/2016 01:49:09,317
-1,111,34.20667,-117.13861,ASH5694,27000,468,11/07/2016 01:49:15,106
-1,112,34.54185,-118.2072,SKW5287,17500,358,11/07/2016 01:49:29,53
-1,113,39.31833,-118.57028,ASA605,40000,439,11/07/2016 01:49:46,333
-1,114,36.84417,-120.93472,EJA820,23400,384,11/07/2016 01:50:11,320
-1,115,34.16,-116.95722,ASH5694,27000,471,11/07/2016 01:50:18,107
-1,116,34.60519,-118.1059,SKW5287,19000,376,11/07/2016 01:50:33,52
-1,117,39.42889,-118.64139,ASA605,40000,440,11/07/2016 01:50:48,334
-1,118,34.62625,-118.0646,SKW5287,19000,375,11/07/2016 01:50:51,66
-1,119,34.63417,-118.0341,SKW5287,19000,373,11/07/2016 01:51:07,77
-1,120,36.93833,-121.03806,EJA820,20400,375,11/07/2016 01:51:13,319
-1,121,34.12306,-116.80861,ASH5694,27000,468,11/07/2016 01:51:20,107
-1,122,34.64328,-117.956,SKW5287,19000,369,11/07/2016 01:51:45,82
-1,123,39.54583,-118.71806,ASA605,40000,447,11/07/2016 01:51:49,333
-1,124,37.015,-121.12417,EJA820,18000,373,11/07/2016 01:52:14,318
-1,125,34.1075,-116.65333,ASH5694,27000,461,11/07/2016 01:52:22,97
-1,126,34.65763,-117.8247,SKW5287,19000,372,11/07/2016 01:52:47,82
-1,127,39.65167,-118.78861,ASA605,40000,435,11/07/2016 01:52:51,333
-1,128,34.66214,-117.786,SKW5287,19400,374,11/07/2016 01:53:06,80
-1,129,37.08694,-121.20333,EJA820,16200,349,11/07/2016 01:53:16,319
-1,130,34.07611,-116.50111,ASH5694,27000,468,11/07/2016 01:53:24,104
-1,131,34.67122,-117.7378,SKW5287,20200,378,11/07/2016 01:53:30,74
-1,132,39.78028,-118.87556,ASA605,40000,435,11/07/2016 01:53:53,333
-1,133,34.69385,-117.6482,SKW5287,21600,386,11/07/2016 01:54:14,72
-1,134,37.15722,-121.28667,EJA820,14700,347,11/07/2016 01:54:18,317
-1,135,34.03583,-116.35472,ASH5694,27000,463,11/07/2016 01:54:27,108
-1,136,34.71051,-117.5834,SKW5287,22600,390,11/07/2016 01:54:44,72
-1,137,39.88944,-118.9475,ASA605,40000,437,11/07/2016 01:54:54,333
-1,138,37.22611,-121.36583,EJA820,12300,338,11/07/2016 01:55:19,318
-1,139,33.98833,-116.17778,ASH5694,27000,463,11/07/2016 01:55:29,108
-1,140,34.74179,-117.4605,SKW5287,24400,395,11/07/2016 01:55:45,72
-1,141,37.29528,-121.44556,EJA820,9700,337,11/07/2016 01:56:21,318
-1,142,33.94833,-116.03167,ASH5694,27000,460,11/07/2016 01:56:31,108
-1,143,34.77601,-117.3252,SKW5287,26100,406,11/07/2016 01:56:47,73
-1,144,37.36222,-121.52528,EJA820,9000,288,11/07/2016 01:57:23,317
-1,145,33.90833,-115.88556,ASH5694,27000,460,11/07/2016 01:57:33,108
-1,146,34.81027,-117.1901,SKW5287,27500,417,11/07/2016 01:57:47,72
-1,147,37.43333,-121.6,EJA820,8600,292,11/07/2016 01:58:32,320
-1,148,33.86806,-115.73861,ASH5694,27000,460,11/07/2016 01:58:36,108
-1,149,34.84589,-117.0481,SKW5287,29000,422,11/07/2016 01:58:49,73
-1,150,37.48333,-121.7,EJA820,7600,290,11/07/2016 01:59:32,307
-1,151,33.8275,-115.59528,ASH5694,27000,458,11/07/2016 01:59:38,109
-1,152,34.88136,-116.9062,SKW5287,30200,428,11/07/2016 01:59:51,73
-1,153,37.53333,-121.76667,EJA820,6400,283,11/07/2016 02:00:32,307
-1,154,33.78722,-115.4475,ASH5694,27000,463,11/07/2016 02:00:40,108
-1,155,34.91609,-116.7664,SKW5287,31400,430,11/07/2016 02:00:51,73
-1,156,34.93313,-116.6976,SKW5287,31900,432,11/07/2016 02:01:22,73
-1,157,33.73833,-115.27278,ASH5694,27000,462,11/07/2016 02:01:42,108
-1,158,34.9514,-116.6243,SKW5287,32500,435,11/07/2016 02:01:53,73
-1,159,34.96179,-116.5944,SKW5287,32700,433,11/07/2016 02:02:12,58
-1,160,34.98431,-116.5532,SKW5287,33200,432,11/07/2016 02:02:27,50
-1,161,37.60583,-121.90472,EJA820,5200,268,11/07/2016 02:02:31,304
-1,162,35.00412,-116.5272,SKW5287,33400,432,11/07/2016 02:02:42,45
-1,163,33.69722,-115.12917,ASH5694,27000,459,11/07/2016 02:02:44,109
-1,164,35.04414,-116.477,SKW5287,33800,433,11/07/2016 02:03:12,46
-1,165,37.65,-121.98333,EJA820,3400,228,11/07/2016 02:03:32,305
-1,166,33.65667,-114.98361,ASH5694,27000,459,11/07/2016 02:03:47,108
-1,167,35.10388,-116.40233,SKW5287,34600,424,11/07/2016 02:03:52,47
-1,168,35.1387,-116.35872,SKW5287,35000,424,11/07/2016 02:04:17,47
-1,169,37.66667,-122.03333,EJA820,2800,169,11/07/2016 02:04:32,293
-1,170,33.61639,-114.83889,ASH5694,27000,459,11/07/2016 02:04:49,108
-1,171,35.22331,-116.2528,SKW5287,35000,429,11/07/2016 02:05:19,45
-1,172,37.68333,-122.08333,EJA820,2000,145,11/07/2016 02:05:33,293
-1,173,33.57917,-114.69306,ASH5694,27000,458,11/07/2016 02:05:51,107
-1,174,35.28432,-116.1759,SKW5287,35000,425,11/07/2016 02:06:05,46
-1,175,37.7,-122.13333,EJA820,1300,123,11/07/2016 02:06:33,293
-1,176,35.32803,-116.1207,SKW5287,35000,425,11/07/2016 02:06:36,45
-1,177,35.37209,-116.065,SKW5287,35000,425,11/07/2016 02:07:07,46
-1,178,37.71667,-122.16667,EJA820,600,124,11/07/2016 02:07:33,302
-1,179,35.41173,-116.0153,SKW5287,35000,429,11/07/2016 02:07:38,45
-1,180,35.49725,-115.9072,SKW5287,35000,431,11/07/2016 02:08:40,46
-1,181,35.54342,-115.8486,SKW5287,35000,433,11/07/2016 02:09:10,46
-1,182,35.58307,-115.7982,SKW5287,35000,429,11/07/2016 02:09:41,46
-1,183,35.62941,-115.7388,SKW5287,35000,428,11/07/2016 02:10:15,46
-1,184,34.08194,-114.78722,ASH5666,34500,458,11/07/2016 02:10:50,283
-1,185,35.72619,-115.6156,SKW5287,35000,434,11/07/2016 02:11:23,46
-1,186,34.10944,-114.93667,ASH5666,35300,458,11/07/2016 02:11:52,283
-1,187,35.80673,-115.5125,SKW5287,35000,428,11/07/2016 02:12:23,46
-1,188,34.14083,-115.11306,ASH5666,36000,454,11/07/2016 02:12:54,282
-1,189,35.87576,-115.4184,SKW5287,35000,426,11/07/2016 02:13:13,53
-1,190,35.91603,-115.32501,SKW5287,35000,430,11/07/2016 02:13:55,66
-1,191,34.16722,-115.26306,ASH5666,35900,455,11/07/2016 02:13:57,282
-1,192,35.94699,-115.2426,SKW5287,35000,429,11/07/2016 02:14:33,65
-1,193,34.19333,-115.41,ASH5666,36000,454,11/07/2016 02:14:59,282
-1,194,35.97418,-115.16899,SKW5287,35000,433,11/07/2016 02:15:05,66
-1,195,36.00001,-115.09903,SKW5287,35000,434,11/07/2016 02:15:36,66
-1,196,34.21944,-115.55667,ASH5666,36000,451,11/07/2016 02:16:01,282
-1,197,36.02994,-115.0182,SKW5287,35000,431,11/07/2016 02:16:16,65
-1,198,34.24472,-115.70583,ASH5666,35900,451,11/07/2016 02:17:03,282
-1,199,36.08208,-114.8768,SKW5287,35000,436,11/07/2016 02:17:16,65
-1,200,36.10512,-114.8134,SKW5287,35000,426,11/07/2016 02:17:46,65
-1,201,34.27583,-115.88306,ASH5666,35900,452,11/07/2016 02:18:06,282
-1,202,36.1295,-114.7475,SKW5287,35000,427,11/07/2016 02:18:14,65
-1,203,36.16141,-114.6603,SKW5287,35000,428,11/07/2016 02:18:55,65
-1,204,34.30167,-116.03306,ASH5666,36000,453,11/07/2016 02:19:08,282
-1,205,33.79972,-114.82,ASH5641,32000,460,11/07/2016 02:19:58,280
-1,206,36.21693,-114.50781,SKW5287,35000,424,11/07/2016 02:20:00,67
-1,207,34.32639,-116.18194,ASH5666,36000,453,11/07/2016 02:20:10,281
